SAMPLE	READ_END	CYCLE	PCT_A	PCT_C	PCT_G	PCT_T	PCT_N
sample2	2	141	27.088305	21.638823	22.215593	29.057279	0
sample2	2	142	30.887033	21.141607	18.93397	29.037391	0
sample2	2	143	29.77327	21.062053	20.544948	28.460621	0.159109
sample2	2	144	28.202068	24.482896	21.360382	25.775656	0.178998
sample2	2	145	27.863962	21.042164	23.329356	27.545744	0.218775
sample2	2	146	25.57677	25.238663	22.11615	26.829753	0.238663
sample2	2	147	28.957836	21.81782	20.425617	28.540175	0.258552
sample2	2	148	27.74463	21.6786	24.224344	26.093874	0.258552
sample2	2	149	29.574383	22.494033	19.988067	27.684964	0.258552
sample2	2	150	27.128083	20.66428	24.840891	27.108194	0.258552
sample2	2	151	25.417661	22.673031	20.346062	31.304694	0.258552
sample2	2	152	30.389817	20.942721	20.306285	28.102625	0.258552
sample2	2	153	29.176611	22.573588	21.201273	26.809865	0.238663
sample2	2	154	29.355609	21.400159	21.459825	27.545744	0.238663
sample2	2	155	27.227526	24.86078	20.823389	26.829753	0.258552
sample2	2	156	29.097056	22.056484	21.340493	27.247414	0.258552
sample2	2	157	27.16786	23.070804	22.076372	27.406523	0.278441
sample2	2	158	27.505967	23.468576	20.246619	28.520286	0.258552
sample2	2	159	27.187749	21.400159	25.099443	26.054097	0.258552
sample2	2	160	26.750199	23.110581	22.454256	27.426412	0.258552
sample2	2	161	27.545744	21.280827	20.365951	30.548926	0.258552
sample2	2	162	26.670644	22.732697	22.951472	27.386635	0.258552
sample2	2	163	27.903739	22.315036	19.490851	30.031822	0.258552
sample2	2	164	27.207637	23.26969	21.638823	27.625298	0.258552
sample2	2	165	29.077168	22.11615	20.763723	27.784407	0.258552
sample2	2	166	29.077168	23.289578	20.485282	26.889419	0.258552
sample2	2	167	28.102625	25.397772	20.704057	25.556881	0.238663
sample2	2	168	27.684964	22.97136	22.991249	26.093874	0.258552
sample2	2	169	27.804296	25.536993	21.201273	25.218775	0.238663
sample2	2	170	30.270485	21.360382	21.6786	26.471758	0.218775
sample2	2	171	26.372315	22.155927	25.039777	26.193317	0.238663
sample2	2	172	28.023071	24.204455	20.22673	27.287192	0.258552
sample2	2	173	27.426412	21.877486	23.329356	27.108194	0.258552
sample2	2	174	26.511535	23.727128	21.280827	28.221957	0.258552
sample2	2	175	30.449483	22.235481	19.311854	27.764519	0.238663
sample2	2	176	28.739061	22.454256	22.83214	25.71599	0.258552
sample2	2	177	28.281623	21.758154	22.752586	26.949085	0.258552
sample2	2	178	26.093874	25.278441	21.758154	26.610979	0.258552
sample2	2	179	29.494829	22.414479	21.161496	26.710422	0.218775
sample2	2	180	26.173429	22.991249	24.86078	25.71599	0.258552
sample2	2	181	26.73031	24.721559	20.107399	28.18218	0.258552
sample2	2	182	26.670644	21.340493	25.616547	26.113763	0.258552
sample2	2	183	25.198886	24.005569	23.448687	27.088305	0.258552
sample2	2	184	26.789976	21.638823	22.295147	29.017502	0.258552
sample2	2	185	28.18218	21.181384	23.190135	27.187749	0.258552
sample2	2	186	27.74463	22.613365	21.778043	27.60541	0.258552
sample2	2	187	27.16786	22.215593	22.195704	28.162291	0.258552
sample2	2	188	29.77327	21.81782	21.420048	26.73031	0.258552
sample2	2	189	29.33572	22.016706	22.096261	26.272872	0.278441
sample2	2	190	27.366746	25.397772	21.81782	25.159109	0.258552
sample2	2	191	26.312649	22.673031	22.891806	27.863962	0.258552
sample2	2	192	26.352426	24.940334	22.553699	25.914877	0.238663
sample2	2	193	28.818616	21.360382	22.096261	27.446301	0.278441
sample2	2	194	26.770088	22.871917	26.073986	24.025457	0.258552
sample2	2	195	27.505967	23.806683	21.81782	26.59109	0.278441
sample2	2	196	27.048528	22.076372	23.389021	27.207637	0.278441
sample2	2	197	25.656325	21.957041	22.195704	29.932379	0.258552
sample2	2	198	27.804296	22.593477	22.295147	27.048528	0.258552
sample2	2	199	28.918059	23.249801	21.937152	25.636436	0.258552
sample2	2	200	28.023071	22.653142	22.474145	26.59109	0.258552
sample2	2	201	25.556881	25.477327	23.766905	24.920446	0.278441
sample2	2	202	28.221957	21.778043	21.937152	27.784407	0.278441
