SAMPLE	GC	WINDOWS	READ_STARTS	MEAN_BASE_QUALITY	NORMALIZED_COVERAGE	ERROR_BAR_WIDTH
out/default/sample2	75	1187753	5	22	1.834184	0.820272
out/default/sample2	76	1025655	5	19	2.124064	0.949911
out/default/sample2	77	902028	8	21	3.864283	1.36623
out/default/sample2	78	802356	1	0	0.54304	0.54304
out/default/sample2	79	700528	2	23	1.243952	0.879607
out/default/sample2	80	597861	1	15	0.728784	0.728784
out/default/sample2	81	502767	3	22	2.599881	1.501042
out/default/sample2	82	422249	0	0	0	0
out/default/sample2	83	347346	2	17	2.508804	1.773992
out/default/sample2	84	269298	0	0	0	0
out/default/sample2	85	194982	0	0	0	0
out/default/sample2	86	129590	0	0	0	0
out/default/sample2	87	83957	1	20	5.189698	5.189698
out/default/sample2	88	57883	0	0	0	0
out/default/sample2	89	37514	0	0	0	0
out/default/sample2	90	24589	0	0	0	0
out/default/sample2	91	15593	0	0	0	0
out/default/sample2	92	9212	0	0	0	0
out/default/sample2	93	5782	0	0	0	0
out/default/sample2	94	3352	0	0	0	0
out/default/sample2	95	1653	0	0	0	0
out/default/sample2	96	986	0	0	0	0
out/default/sample2	97	658	0	0	0	0
out/default/sample2	98	328	0	0	0	0
out/default/sample2	99	133	0	0	0	0
out/default/sample2	100	339	0	0	0	0
